date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:59:29	381/381	---MCZ	200	added ('OK')	text/plain	etag:cacheable:5ae4f566c8fbc9e13730fa8a0a1d3937	https://art-furniture-1.myshopify.com/robots.txt		(from )
23:59:31	150027/150027	---MCZ	200	added ('OK')	text/html	etag:cacheable:72a26814fa72e6a4a592f7f9ab92c86a	https://art-furniture-1.myshopify.com/	C:/Users/hhson/Desktop/Funnn/art-furniture-1.myshopify.com/index.html	(from )
23:59:32	909/909	---M--	200	added ('OK')	image/png	date:Sat,%2012%20May%202018%2017:59:33%20GMT	http://cdn.shopify.com/s/files/1/0011/2918/5331/t/2/assets/favicon.png?1521015864149264272	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/files/1/0011/2918/5331/t/2/assets/faviconf0ec.png	(from https://art-furniture-1.myshopify.com/)
23:59:33	43855/43855	---M-Z	200	added ('OK')	text/css	date:Sat,%2012%20May%202018%2017:59:34%20GMT	http://cdn.shopify.com/s/files/1/0011/2918/5331/t/2/assets/timber.scss.css?1521015864149264272	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/files/1/0011/2918/5331/t/2/assets/timber.scssf0ec.css	(from https://art-furniture-1.myshopify.com/)
23:59:34	1801/1801	---M-Z	200	added ('OK')	text/css	date:Wed,%2009%20May%202018%2006:15:51%20GMT	http://cdn.shopify.com/s/files/1/0011/2918/5331/t/2/assets/preloader.css?1521015864149264272	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/files/1/0011/2918/5331/t/2/assets/preloaderf0ec.css	(from https://art-furniture-1.myshopify.com/)
23:59:35	127349/127349	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Mar%202018%2004:07:51%20GMT	http://cdn.shopify.com/s/files/1/0011/2918/5331/t/2/assets/bootstrap.min.css?1521015864149264272	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/files/1/0011/2918/5331/t/2/assets/bootstrap.minf0ec.css	(from https://art-furniture-1.myshopify.com/)
23:59:36	2936/2936	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Mar%202018%2004:07:56%20GMT	http://cdn.shopify.com/s/files/1/0011/2918/5331/t/2/assets/owl.carousel.min.css?1521015864149264272	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/files/1/0011/2918/5331/t/2/assets/owl.carousel.minf0ec.css	(from https://art-furniture-1.myshopify.com/)
23:59:36	30946/30946	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Mar%202018%2004:16:27%20GMT	http://cdn.shopify.com/s/files/1/0011/2918/5331/t/2/assets/font-awesome.min.css?1521015864149264272	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/files/1/0011/2918/5331/t/2/assets/font-awesome.minf0ec.css	(from https://art-furniture-1.myshopify.com/)
23:59:38	3802/3802	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Mar%202018%2004:07:56%20GMT	http://cdn.shopify.com/s/files/1/0011/2918/5331/t/2/assets/meanmenu.css?1521015864149264272	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/files/1/0011/2918/5331/t/2/assets/meanmenuf0ec.css	(from https://art-furniture-1.myshopify.com/)
23:59:38	115538/115538	---MCZ	200	added ('OK')	text/css	date:Sun,%2025%20Mar%202018%2006:26:38%20GMT	http://cdn.shopify.com/s/files/1/0011/2918/5331/t/2/assets/ie7.css?1521015864149264272	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/files/1/0011/2918/5331/t/2/assets/ie7f0ec.css	(from https://art-furniture-1.myshopify.com/)
